ensembl_gene_id	description
LOC726196	ubiquitin-fold modifier 1, transcript variant X2
LOC408470	NAD kinase, transcript variant X4
LOC107964742	uncharacterized LOC107964742
LOC551378	toll-like receptor Tollo, transcript variant X3
LOC107964134	mitotic-spindle organizing protein 2
LOC100578017	uncharacterized LOC100578017, transcript variant X2
LOC102655631	facilitated trehalose transporter Tret1-like
LOC726601	transferrin, transcript variant X3
LOC410416	uncharacterized LOC410416
LOC412303	choline-phosphate cytidylyltransferase A, transcript variant X2
LOC408452	cytochrome P450 9e2
LOC412884	AP-1 complex subunit gamma-1, transcript variant X15
LOC408937	SPARC, transcript variant X1
GeneID_107964113	tRNA-Ala
LOC552814	activating signal cointegrator 1 complex subunit 3, transcript variant X6
LOC412560	cyclin-dependent kinase 9
LOC726662	complex III assembly factor LYRM7, transcript variant X2
LOC409197	protein Dr1
GeneID_410066	glutamine synthetase
LOC102656505	uncharacterized LOC102656505
LOC726727	ecotropic viral integration site 5 ortholog, transcript variant X4
LOC113218593	uncharacterized LOC113218593
LOC102654436	uncharacterized LOC102654436
LOC107964751	uncharacterized LOC107964751
LOC724564	dehydrodolichyl diphosphate synthase complex subunit Nus1
LOC725922	mitochondrial basic amino acids transporter
LOC107964838	probable uridine nucleosidase 2
LOC551968	aldose reductase
LOC102654970	protein tipE
LOC409479	60S ribosomal protein L6
LOC551654	uncharacterized protein C45G9.7
GeneID_107964922	tRNA-Arg
LOC552747	glucosidase 2 subunit beta
LOC100577694	neuropeptide-like 1, transcript variant X5
LOC411655	serine/arginine repetitive matrix protein 1, transcript variant X1
LOC100578613	uncharacterized LOC100578613
GeneID_100629032	microRNA 306
LOC412148	ras suppressor protein 1, transcript variant X1
LOC409626	chymotrypsin-2
LOC102654736	zinc finger protein 239
LOC412396	cytochrome c oxidase subunit 4 isoform 1, mitochondrial
LOC408311	catenin delta-2, transcript variant X3
LOC725593	dynein heavy chain 7, axonemal, transcript variant X5
LOC724490	uncharacterized LOC724490
GeneID_551853	STT3, subunit of the oligosaccharyltransferase complex, homolog B
LOC726983	geranylgeranyl transferase type-2 subunit alpha, transcript variant X2
LOC409682	NADP-dependent malic enzyme, transcript variant X2
LOC102656852	uncharacterized LOC102656852, transcript variant X3
LOC410264	tRNA-dihydrouridine(20) synthase [NAD(P)+]-like, transcript variant X2
LOC100576839	uncharacterized LOC100576839
LOC410459	cyclin-H
LOC551948	uracil phosphoribosyltransferase homolog, transcript variant X2
LOC100576423	uncharacterized LOC100576423, transcript variant X1
GeneID_732496	microRNA 184
LOC102656788	uncharacterized LOC102656788
LOC727192	structural maintenance of chromosomes protein 6, transcript variant X2
LOC102656787	uncharacterized LOC102656787
LOC408672	programmed cell death protein 6, transcript variant X3
LOC410454	putative sodium-dependent multivitamin transporter, transcript variant X2
LOC409159	G-protein coupled receptor moody, transcript variant X1
LOC408631	patronin, transcript variant X19
LOC100578057	uncharacterized LOC100578057
LOC550915	sideroflexin-2
LOC100576836	uncharacterized LOC100576836, transcript variant X1
NC_001566.1:10267..10344_df_g	tRNA-Thr
LOC113218903	uncharacterized LOC113218903, transcript variant X2
LOC725395	bifunctional glutamate/proline--tRNA ligase
LOC725831	uncharacterized LOC725831, transcript variant X1
GeneID_677673	odorant binding protein 14
LOC408294	protein FAM76A, transcript variant X2
LOC100577142	G-protein coupled receptor Mth
LOC726171	60S ribosomal protein L11
LOC551008	cell cycle checkpoint protein RAD1
LOC107965384	uncharacterized LOC107965384
LOC100576195	protein ccsmst1, transcript variant X5
LOC552108	adhesion G protein-coupled receptor A3, transcript variant X1
LOC409977	uncharacterized LOC409977
LOC113219191	uncharacterized LOC113219191
LOC726007	polycomb protein Scm, transcript variant X2
LOC410470	putative polypeptide N-acetylgalactosaminyltransferase 9, transcript variant X6
LOC113218885	uncharacterized LOC113218885
LOC409130	iron-sulfur cluster assembly enzyme ISCU, mitochondrial
LOC726286	uncharacterized LOC726286
LOC100577795	probable serine/threonine-protein kinase DDB_G0282963
LOC408965	glutamate receptor-interacting protein 1
LOC102654947	uncharacterized LOC102654947, transcript variant X4
LOC409807	arginine kinase, transcript variant X1
LOC102656360	uncharacterized LOC102656360
LOC408804	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase epsilon-1, transcript variant X3
LOC725584	TBC1 domain family member 7
LOC100576829	serine/arginine repetitive matrix protein 2, transcript variant X2
LOC550695	carnitine O-palmitoyltransferase 1, liver isoform, transcript variant X4
LOC102653967	uncharacterized LOC102653967
GeneID_406067	major royal jelly protein 8
LOC412011	muscarinic acetylcholine receptor gar-2
LOC724212	60 kDa SS-A/Ro ribonucleoprotein
LOC107964525	uncharacterized LOC107964525
LOC494509	malvolio, transcript variant X1
LOC107964776	uncharacterized LOC107964776
LOC551355	integrator complex subunit 2
LOC552400	putative uncharacterized protein DDB_G0282133, transcript variant X2
LOC408382	clusterin-associated protein 1-like
LOC113218896	uncharacterized LOC113218896
GeneID_552033	peptidylprolyl isomerase B (cyclophilin B)
LOC551987	putative RNA-binding protein Luc7-like 2, transcript variant X1
LOC552364	gephyrin, transcript variant X3
LOC113219303	uncharacterized LOC113219303, transcript variant X4
LOC410057	uncharacterized LOC410057, transcript variant X2
LOC408852	protein similar, transcript variant X2
LOC408680	ryanodine receptor, transcript variant X7
LOC100576131	zinc finger protein 267
LOC409637	60S ribosomal protein L23a
LOC409429	meiosis regulator and mRNA stability factor 1, transcript variant X5
LOC551815	putative methyltransferase C9orf114 homolog
LOC411813	NADP-dependent malic enzyme, transcript variant X2
LOC552477	dipeptidyl aminopeptidase-like protein 6, transcript variant X2
LOC113219058	uncharacterized LOC113219058
LOC100578014	CCAAT/enhancer-binding protein zeta, transcript variant X2
LOC102653771	tRNA (guanine(37)-N1)-methyltransferase
LOC410469	signal recognition particle receptor subunit beta
LOC410043	ornithine decarboxylase, transcript variant X1
LOC550824	nucleosome assembly protein 1-like 1, transcript variant X3
LOC102654712	uncharacterized LOC102654712
LOC107964879	uncharacterized LOC107964879
LOC409708	glucosylceramidase-like, transcript variant X4
GeneID_100577813	odorant receptor 109
LOC413873	S phase cyclin A-associated protein in the endoplasmic reticulum, transcript variant X3
LOC724214	gametogenetin-binding protein 2-like, transcript variant X1
LOC409942	interference hedgehog, transcript variant X11
LOC100578209	BTB/POZ domain-containing protein 6-B, transcript variant X2
LOC724175	probable cytochrome P450 304a1
LOC409900	N6-adenosine-methyltransferase non-catalytic subunit
LOC113219260	uncharacterized LOC113219260
LOC411237	UPF0505 protein C16orf62 homolog
LOC102653709	cAMP-dependent protein kinase catalytic subunit-like
LOC113218801	uncharacterized LOC113218801
LOC410823	transient receptor potential-gamma protein, transcript variant X1
GeneID_551233	fatty acyl-CoA reductase 1
LOC725558	uncharacterized LOC725558
LOC113219320	uncharacterized LOC113219320
LOC409734	nuclear pore glycoprotein p62, transcript variant X1
LOC413742	signal transducer and activator of transcription 5B
LOC102654268	uncharacterized LOC102654268
LOC552611	protein ABHD4, transcript variant X1
LOC726067	Hermansky-Pudlak syndrome 1 protein homolog, transcript variant X1
LOC412944	VWFA and cache domain-containing protein 1
LOC113218609	histone-lysine N-methyltransferase SETMAR-like
LOC410505	E3 ubiquitin-protein ligase RING1
LOC410920	putative inorganic phosphate cotransporter
LOC100578830	uncharacterized LOC100578830
NC_001566.1:4370..4438_df_g	tRNA-Lys
LOC551516	uncharacterized LOC551516
LOC107964437	THAP domain-containing protein 4
LOC725266	oligosaccharyltransferase complex subunit ostc-A
LOC725786	ubiquitin-like domain-containing CTD phosphatase 1
LOC724477	vitamin K-dependent protein C, transcript variant X1
LOC411052	sialin, transcript variant X5
LOC102656508	uncharacterized LOC102656508
LOC551349	protein BCL9 homolog, transcript variant X1
LOC552669	protein will die slowly
LOC551533	pyridoxine/pyridoxamine 5'-phosphate oxidase
LOC551214	uncharacterized LOC551214, transcript variant X4
LOC100578727	uncharacterized LOC100578727, transcript variant X3
GeneID_104794317	microRNA 6004
LOC100577387	uncharacterized LOC100577387
LOC412351	E3 ubiquitin-protein ligase TM129, transcript variant X1
LOC107964653	coiled-coil domain-containing protein 134
LOC410890	protein seele
LOC113218713	structural maintenance of chromosomes protein 1A-like
LOC413746	adrenodoxin
LOC113218919	dynein regulatory complex protein 9-like
LOC410299	ankyrin repeat domain-containing protein SOWAHB, transcript variant X3
LOC100576400	cilia- and flagella-associated protein 97
LOC100576571	uncharacterized LOC100576571, transcript variant X2
LOC113218566	ER lumen protein-retaining receptor
LOC113218772	molybdopterin synthase sulfur carrier subunit
LOC409273	midnolin-A, transcript variant X2
LOC413246	ras-related protein Rap1, transcript variant X5
LOC411065	monocarboxylate transporter 14, transcript variant X1
LOC102653857	uncharacterized LOC102653857
LOC552025	tyrosine--tRNA ligase, mitochondrial
LOC551448	ribose-phosphate pyrophosphokinase 1, transcript variant X2
LOC550655	protein FAM49B, transcript variant X3
LOC408409	UPF0430 protein CG31712, transcript variant X2
LOC725061	uncharacterized LOC725061
LOC409882	TLD domain-containing protein 2, transcript variant X3
LOC412573	cGMP-dependent 3',5'-cyclic phosphodiesterase
LOC552273	phosphoribosyl pyrophosphate synthase-associated protein 2, transcript variant X1
LOC102655559	uncharacterized LOC102655559, transcript variant X3
LOC102655900	uncharacterized LOC102655900
LOC413943	eukaryotic peptide chain release factor GTP-binding subunit ERF3A
LOC100577959	uncharacterized LOC100577959
LOC552346	coatomer subunit delta
LOC410637	nuclear receptor coactivator 3, transcript variant X9
LOC550698	cyclin-Y
LOC725237	protein scabrous
LOC551766	ATP synthase subunit beta, mitochondrial
LOC107964495	uncharacterized LOC107964495
LOC107965595	uncharacterized LOC107965595
LOC725813	uncharacterized LOC725813
LOC724862	nuclear envelope integral membrane protein 1, transcript variant X1
LOC102654069	ninjurin-1, transcript variant X1
LOC410347	protein big brother
LOC726880	pancreatic lipase-related protein 2-like
LOC551804	transcriptional regulator ERG homolog, transcript variant X7
LOC412107	uncharacterized LOC412107
GeneID_406109	odorant binding protein 6
LOC100577101	odorant receptor 4-like
LOC102655817	uncharacterized LOC102655817
LOC552752	symplekin, transcript variant X1
LOC413576	facilitated trehalose transporter Tret1-2 homolog
LOC726505	uncharacterized LOC726505
LOC100578641	uncharacterized LOC100578641, transcript variant X1
LOC725766	NF-kappa-B inhibitor cactus
LOC411185	Fanconi anemia group J protein, transcript variant X1
LOC102654746	dynein regulatory complex subunit 5
LOC102656019	uncharacterized LOC102656019
LOC409129	28S ribosomal protein S10, mitochondrial
LOC113218619	uncharacterized LOC113218619
LOC412128	DENN domain-containing protein 5B, transcript variant X7
LOC725084	uncharacterized LOC725084
LOC410326	Krueppel-like factor 10
LOC100577920	uncharacterized LOC100577920
LOC413472	innexin shaking-B, transcript variant X1
LOC107966095	uncharacterized LOC107966095
LOC725272	histone H3
LOC409202	40S ribosomal protein S9
LOC551741	uncharacterized LOC551741
LOC411671	GTP-binding protein Rit2, transcript variant X3
GeneID_100629026	microRNA 3790
LOC551635	uncharacterized LOC551635
LOC724998	solute carrier family 2, facilitated glucose transporter member 10
LOC551532	ribosomal L1 domain-containing protein 1
GeneID_726777	ubiquinol-cytochrome c reductase, complex III subunit XI
GeneID_107965790	tRNA-Met
LOC551984	coiled-coil domain-containing protein R3HCC1L, transcript variant X1
GeneID_550961	vesicle-associated membrane protein 7
LOC411476	la-related protein 4, transcript variant X1
LOC100577053	glycine dehydrogenase (decarboxylating), mitochondrial, transcript variant X3
LOC412890	A disintegrin and metalloproteinase with thrombospondin motifs 3
LOC413677	rho guanine nucleotide exchange factor 10, transcript variant X3
LOC412288	WD repeat-containing protein 7, transcript variant X2
LOC102654696	uncharacterized LOC102654696
LOC411995	dual specificity protein phosphatase CDC14AB, transcript variant X3
LOC409373	transmembrane protein 184B, transcript variant X2
LOC726085	probable prefoldin subunit 2
LOC408620	RNA-binding protein 42, transcript variant X2
LOC408987	sortilin-related receptor
LOC410379	uncharacterized LOC410379
LOC102655898	GPI mannosyltransferase 3, transcript variant X4
LOC726419	beta-1,3-galactosyltransferase
LOC100578990	dynein intermediate chain 3, ciliary, transcript variant X7
LOC408604	TBC1 domain family member 13, transcript variant X1
LOC409930	putative ATP synthase subunit f, mitochondrial
LOC413398	39S ribosomal protein L32, mitochondrial
LOC102653841	uncharacterized LOC102653841, transcript variant X2
LOC100578337	uncharacterized LOC100578337, transcript variant X2
LOC113219274	uncharacterized LOC113219274
LOC412457	T-cell activation inhibitor, mitochondrial, transcript variant X2
LOC724321	fumarate hydratase, mitochondrial, transcript variant X1
LOC113219417	uncharacterized LOC113219417
LOC113219188	uncharacterized LOC113219188
LOC102656308	uncharacterized LOC102656308, transcript variant X1
LOC412391	transient receptor potential cation channel, subfamily M, member 3, transcript variant X10
LOC102656174	uncharacterized LOC102656174
LOC726792	pickpocket protein 28
LOC107964589	uncharacterized LOC107964589
LOC552729	neuroguidin-A-like
LOC410967	ABC transporter G family member 22, transcript variant X4
LOC100578132	glutamate--cysteine ligase catalytic subunit, transcript variant X4
LOC412675	aspartate aminotransferase, mitochondrial
LOC412810	V-type proton ATPase 116 kDa subunit a, transcript variant X2
LOC551472	trafficking protein particle complex subunit 10, transcript variant X2
LOC107964959	uncharacterized LOC107964959, transcript variant X3
LOC113218943	uncharacterized LOC113218943, transcript variant X1
LOC409497	zinc finger CCCH domain-containing protein 18, transcript variant X3
LOC552371	ATP-binding cassette sub-family G member 4, transcript variant X5
LOC100576397	uncharacterized LOC100576397, transcript variant X1
LOC102653649	uncharacterized LOC102653649
LOC413732	Golgi apparatus protein 1, transcript variant X1
LOC102656248	uncharacterized LOC102656248, transcript variant X1
LOC102655306	uncharacterized LOC102655306
LOC551436	T-complex protein 1 subunit theta
LOC725762	dynein light chain 1, axonemal-like
LOC412480	ribosomal RNA processing protein 1 homolog
LOC550895	general transcription factor IIH subunit 1, transcript variant X1
LOC409501	SWI/SNF complex subunit SMARCC2
LOC107965250	7SK snRNA methylphosphate capping enzyme, transcript variant X1
